model_name,image_name,objects,avg_image
CenterNet_HourGlass104_512x512,Beach_900,"{'person': 11, 'kite': 8, 'surfboard': 1}",21.38181710243225
CenterNet_HourGlass104_512x512,Beach_426,"{'person': 12, 'kite': 7, 'surfboard': 1}",21.400707387924193
CenterNet_HourGlass104_512x512,Dogs_636,"{'dog': 4, 'person': 4}",22.008043098449708
CenterNet_HourGlass104_512x512,Dogs_397,"{'person': 5, 'dog': 3}",22.098682594299316
CenterNet_HourGlass104_512x512,Naxos Taverna_1024,"{'chair': 13, 'vase': 3, 'potted plant': 2, 'person': 1, 'umbrella': 1}",22.1767409324646
CenterNet_HourGlass104_512x512,Naxos Taverna_426,"{'chair': 11, 'vase': 4, 'dining table': 2, 'potted plant': 1, 'umbrella': 1, 'person': 1}",22.090643453598023
CenterNet_HourGlass104_512x512,Beatles_1800,{'bird': 2},22.089593124389648
CenterNet_HourGlass104_512x512,Beatles_640,"{'bird': 1, 'clock': 1}",22.00082383155823
CenterNet_HourGlass104_512x512,Phones_768,"{'cell phone': 9, 'book': 4, 'knife': 2, 'remote': 1, 'clock': 1, 'dining table': 1}",21.453359508514403
CenterNet_HourGlass104_512x512,Phones_480,"{'cell phone': 10, 'book': 4, 'remote': 1}",21.477167654037476
CenterNet_HourGlass104_512x512,Birds_2951,"{'bird': 18, 'book': 1}",21.590927267074584
CenterNet_HourGlass104_512x512,Birds_640,"{'bird': 17, 'book': 1}",21.76419005393982
CenterNet_HourGlass104_Keypoints_512x512,Beach_900,"{'bench': 6, 'person': 4, 'handbag': 3, 'backpack': 2, 'kite': 1, 'car': 1, 'sports ball': 1, 'dog': 1, 'book': 1}",23.59928517341614
CenterNet_HourGlass104_Keypoints_512x512,Beach_426,{'person': 2},23.352101707458495
CenterNet_HourGlass104_Keypoints_512x512,Dogs_636,"{'dog': 2, 'person': 2}",23.541618585586548
CenterNet_HourGlass104_Keypoints_512x512,Dogs_397,{'dog': 2},23.45322585105896
CenterNet_HourGlass104_Keypoints_512x512,Naxos Taverna_1024,"{'chair': 16, 'potted plant': 2, 'dining table': 2}",23.505463457107545
CenterNet_HourGlass104_Keypoints_512x512,Naxos Taverna_426,"{'chair': 13, 'dining table': 4, 'cup': 1, 'bottle': 1, 'bench': 1}",23.372391843795775
CenterNet_HourGlass104_Keypoints_512x512,Beatles_1800,"{'bird': 1, 'vase': 1, 'clock': 1, 'bicycle': 1}",23.432105207443236
CenterNet_HourGlass104_Keypoints_512x512,Beatles_640,{'clock': 1},23.342492818832397
CenterNet_HourGlass104_Keypoints_512x512,Phones_768,"{'book': 10, 'cell phone': 6, 'laptop': 1, 'handbag': 1, 'remote': 1, 'knife': 1}",23.357564163208007
CenterNet_HourGlass104_Keypoints_512x512,Phones_480,"{'cell phone': 11, 'book': 7, 'laptop': 1, 'truck': 1}",23.440007305145265
CenterNet_HourGlass104_Keypoints_512x512,Birds_2951,{'bird': 8},23.429988431930543
CenterNet_HourGlass104_Keypoints_512x512,Birds_640,"{'horse': 1, 'person': 1, 'dog': 1}",23.345692682266236
CenterNet_HourGlass104_1024x1024,Beach_900,"{'person': 4, 'stop sign': 1}",84.70950407981873
CenterNet_HourGlass104_1024x1024,Beach_426,"{'person': 3, 'fire hydrant': 1, 'handbag': 1}",84.8963852405548
CenterNet_HourGlass104_1024x1024,Dogs_636,"{'dog': 4, 'cat': 3}",84.79901909828186
CenterNet_HourGlass104_1024x1024,Dogs_397,"{'person': 4, 'dog': 2, 'car': 1, 'boat': 1, 'truck': 1}",84.76613636016846
CenterNet_HourGlass104_1024x1024,Naxos Taverna_1024,"{'chair': 14, 'dining table': 3, 'vase': 1, 'potted plant': 1, 'umbrella': 1}",84.73818068504333
CenterNet_HourGlass104_1024x1024,Naxos Taverna_426,"{'chair': 12, 'dining table': 4, 'umbrella': 3, 'potted plant': 1}",84.89862442016602
CenterNet_HourGlass104_1024x1024,Beatles_1800,"{'clock': 10, 'person': 2, 'bird': 2, 'zebra': 1, 'potted plant': 1}",84.93320355415344
CenterNet_HourGlass104_1024x1024,Beatles_640,"{'clock': 8, 'bird': 2, 'horse': 1}",84.75265274047851
CenterNet_HourGlass104_1024x1024,Phones_768,"{'cell phone': 11, 'book': 8, 'dining table': 1}",84.73362078666688
CenterNet_HourGlass104_1024x1024,Phones_480,"{'cell phone': 13, 'book': 6, 'dining table': 1}",85.15052456855774
CenterNet_HourGlass104_1024x1024,Birds_2951,"{'bird': 12, 'bowl': 2, 'vase': 2, 'cat': 2, 'horse': 1, 'potted plant': 1}",84.83575053215027
CenterNet_HourGlass104_1024x1024,Birds_640,"{'bear': 5, 'dog': 2, 'bird': 2, 'sheep': 1}",84.67912764549256
CenterNet_HourGlass104_Keypoints_1024x1024,Beach_900,"{'person': 1, 'car': 1}",94.04042611122131
CenterNet_HourGlass104_Keypoints_1024x1024,Beach_426,{'person': 1},94.28942079544068
CenterNet_HourGlass104_Keypoints_1024x1024,Dogs_636,{'dog': 2},94.22130060195923
CenterNet_HourGlass104_Keypoints_1024x1024,Dogs_397,"{'dog': 2, 'person': 1, 'car': 1}",94.00428094863892
CenterNet_HourGlass104_Keypoints_1024x1024,Naxos Taverna_1024,"{'chair': 10, 'dining table': 8, 'bench': 2}",94.22414841651917
CenterNet_HourGlass104_Keypoints_1024x1024,Naxos Taverna_426,"{'chair': 10, 'bench': 2, 'dining table': 1}",94.64914846420288
CenterNet_HourGlass104_Keypoints_1024x1024,Beatles_1800,"{'clock': 2, 'backpack': 1, 'person': 1, 'handbag': 1, 'chair': 1}",97.22033476829529
CenterNet_HourGlass104_Keypoints_1024x1024,Beatles_640,"{'traffic light': 1, 'suitcase': 1, 'cell phone': 1}",94.30196585655213
CenterNet_HourGlass104_Keypoints_1024x1024,Phones_768,"{'book': 10, 'cell phone': 9, 'clock': 1}",94.21776762008668
CenterNet_HourGlass104_Keypoints_1024x1024,Phones_480,"{'cell phone': 10, 'book': 6, 'cup': 2}",93.92197852134704
CenterNet_HourGlass104_Keypoints_1024x1024,Birds_2951,"{'potted plant': 2, 'umbrella': 1, 'elephant': 1}",94.33509826660156
CenterNet_HourGlass104_Keypoints_1024x1024,Birds_640,"{'horse': 1, 'elephant': 1, 'dog': 1}",94.1244240283966
CenterNet_Resnet50_V1_FPN_512x512,Beach_900,"{'person': 7, 'truck': 3, 'bus': 2, 'bird': 1, 'clock': 1, 'car': 1}",3.253828525543213
CenterNet_Resnet50_V1_FPN_512x512,Beach_426,"{'person': 1, 'traffic light': 1, 'cell phone': 1}",3.2462485790252686
CenterNet_Resnet50_V1_FPN_512x512,Dogs_636,"{'dog': 5, 'couch': 3, 'car': 1, 'truck': 1, 'chair': 1}",3.269542407989502
CenterNet_Resnet50_V1_FPN_512x512,Dogs_397,"{'truck': 8, 'dog': 6, 'couch': 3, 'car': 3}",3.2554046154022216
CenterNet_Resnet50_V1_FPN_512x512,Naxos Taverna_1024,"{'chair': 10, 'person': 3, 'dining table': 3, 'potted plant': 1, 'bench': 1, 'truck': 1, 'bus': 1}",3.2620988845825196
CenterNet_Resnet50_V1_FPN_512x512,Naxos Taverna_426,"{'car': 5, 'person': 2, 'umbrella': 2, 'chair': 1}",3.2727978229522705
CenterNet_Resnet50_V1_FPN_512x512,Beatles_1800,"{'bird': 7, 'clock': 3, 'cat': 3, 'bottle': 2, 'cell phone': 1, 'remote': 1, 'potted plant': 1, 'chair': 1, 'teddy bear': 1}",3.2907858371734617
CenterNet_Resnet50_V1_FPN_512x512,Beatles_640,"{'bird': 2, 'person': 1, 'dog': 1, 'teddy bear': 1, 'refrigerator': 1, 'horse': 1, 'fire hydrant': 1, 'cat': 1}",3.2461509227752687
CenterNet_Resnet50_V1_FPN_512x512,Phones_768,"{'book': 11, 'cell phone': 6, 'microwave': 1, 'laptop': 1, 'tv': 1}",3.2667048931121827
CenterNet_Resnet50_V1_FPN_512x512,Phones_480,"{'cell phone': 6, 'book': 3, 'bus': 2, 'train': 2, 'truck': 2, 'cat': 1, 'laptop': 1, 'horse': 1, 'handbag': 1, 'person': 1}",3.253239107131958
CenterNet_Resnet50_V1_FPN_512x512,Birds_2951,"{'bird': 4, 'boat': 2, 'potted plant': 1, 'cat': 1, 'vase': 1, 'sports ball': 1, 'sheep': 1}",3.4139662742614747
CenterNet_Resnet50_V1_FPN_512x512,Birds_640,"{'truck': 6, 'book': 2, 'dog': 2, 'bird': 1, 'banana': 1, 'tv': 1, 'sandwich': 1, 'horse': 1, 'teddy bear': 1, 'chair': 1, 'couch': 1, 'sheep': 1}",3.268860673904419
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Beach_900,"{'traffic light': 1, 'boat': 1, 'bench': 1}",3.4388017654418945
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Beach_426,"{'person': 1, 'sports ball': 1}",3.437783718109131
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Dogs_636,"{'bed': 5, 'dog': 2, 'couch': 2, 'cow': 1, 'book': 1}",3.44861044883728
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Dogs_397,"{'dog': 4, 'car': 4, 'truck': 4, 'bed': 2}",3.4148299217224123
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Naxos Taverna_1024,"{'person': 9, 'car': 6, 'boat': 2, 'bench': 1, 'donut': 1, 'bicycle': 1}",3.4354027271270753
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Naxos Taverna_426,"{'traffic light': 3, 'person': 3, 'book': 1, 'tv': 1, 'car': 1}",3.434540891647339
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Beatles_1800,"{'person': 4, 'teddy bear': 3, 'bottle': 2, 'fire hydrant': 1, 'refrigerator': 1, 'car': 1, 'dog': 1, 'zebra': 1, 'horse': 1, 'cup': 1, 'motorcycle': 1, 'bird': 1, 'vase': 1, 'bicycle': 1}",3.4606839656829833
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Beatles_640,"{'bird': 4, 'dog': 3, 'horse': 3, 'cow': 1, 'vase': 1, 'cup': 1, 'sheep': 1, 'car': 1, 'bottle': 1, 'truck': 1, 'bicycle': 1, 'cat': 1, 'backpack': 1}",3.4213865756988526
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Phones_768,"{'book': 9, 'cell phone': 5, 'clock': 3, 'laptop': 1, 'remote': 1, 'cup': 1}",3.4124349117279054
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Phones_480,"{'train': 4, 'cell phone': 3, 'book': 2, 'bus': 2, 'truck': 1, 'car': 1, 'person': 1}",3.439208507537842
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Birds_2951,"{'bird': 3, 'suitcase': 3, 'teddy bear': 2, 'handbag': 2, 'potted plant': 1, 'backpack': 1}",3.60087571144104
CenterNet_Resnet50_V1_FPN_Keypoints_512x512,Birds_640,"{'truck': 4, 'banana': 3, 'train': 2, 'teddy bear': 2, 'bear': 1}",3.4365197658538817
CenterNet_Resnet101_V1_FPN_512x512,Beach_900,"{'person': 1, 'car': 1}",5.260725975036621
CenterNet_Resnet101_V1_FPN_512x512,Beach_426,"{'parking meter': 1, 'person': 1}",5.242674827575684
CenterNet_Resnet101_V1_FPN_512x512,Dogs_636,{'dog': 2},5.30917181968689
CenterNet_Resnet101_V1_FPN_512x512,Dogs_397,"{'dog': 2, 'cow': 2, 'car': 1}",5.252982950210571
CenterNet_Resnet101_V1_FPN_512x512,Naxos Taverna_1024,"{'bench': 5, 'person': 5, 'bus': 2, 'clock': 2, 'tv': 1, 'truck': 1, 'chair': 1}",5.2362724304199215
CenterNet_Resnet101_V1_FPN_512x512,Naxos Taverna_426,"{'bench': 2, 'clock': 1, 'cell phone': 1, 'car': 1, 'traffic light': 1, 'person': 1, 'dog': 1, 'potted plant': 1, 'suitcase': 1}",5.259251976013184
CenterNet_Resnet101_V1_FPN_512x512,Beatles_1800,"{'bicycle': 4, 'clock': 4, 'bottle': 3, 'person': 3, 'dog': 1, 'backpack': 1, 'cat': 1, 'fire hydrant': 1, 'handbag': 1, 'vase': 1}",5.3303525924682615
CenterNet_Resnet101_V1_FPN_512x512,Beatles_640,"{'person': 3, 'dog': 1, 'horse': 1, 'fire hydrant': 1, 'parking meter': 1, 'potted plant': 1, 'bird': 1}",5.262223815917968
CenterNet_Resnet101_V1_FPN_512x512,Phones_768,"{'cell phone': 7, 'book': 5, 'laptop': 3, 'traffic light': 1}",5.246181392669678
CenterNet_Resnet101_V1_FPN_512x512,Phones_480,"{'cell phone': 3, 'tv': 2, 'person': 2, 'laptop': 1, 'book': 1, 'oven': 1}",5.256675767898559
CenterNet_Resnet101_V1_FPN_512x512,Birds_2951,"{'bird': 3, 'banana': 3, 'horse': 2, 'boat': 2, 'elephant': 1, 'person': 1, 'toilet': 1, 'bowl': 1}",5.4144586563110355
CenterNet_Resnet101_V1_FPN_512x512,Birds_640,"{'train': 1, 'bus': 1, 'person': 1}",5.242666530609131
CenterNet_Resnet50_V2_512x512,Beach_900,"{'bench': 5, 'person': 2, 'car': 2, 'traffic light': 1}",2.918711948394775
CenterNet_Resnet50_V2_512x512,Beach_426,"{'sports ball': 1, 'stop sign': 1, 'traffic light': 1, 'backpack': 1, 'tie': 1}",2.892071771621704
CenterNet_Resnet50_V2_512x512,Dogs_636,"{'car': 4, 'motorcycle': 4, 'dog': 2, 'truck': 1, 'chair': 1, 'teddy bear': 1, 'bed': 1}",2.9052380084991456
CenterNet_Resnet50_V2_512x512,Dogs_397,"{'car': 5, 'dog': 3, 'cow': 3, 'person': 2, 'teddy bear': 1, 'sheep': 1, 'bus': 1, 'truck': 1}",2.8849137306213377
CenterNet_Resnet50_V2_512x512,Naxos Taverna_1024,"{'person': 6, 'bench': 5, 'chair': 2, 'bird': 2, 'sports ball': 1, 'book': 1}",2.90863094329834
CenterNet_Resnet50_V2_512x512,Naxos Taverna_426,"{'person': 3, 'traffic light': 2, 'car': 2, 'truck': 1}",2.8679697036743166
CenterNet_Resnet50_V2_512x512,Beatles_1800,"{'person': 6, 'book': 2, 'bird': 1, 'sports ball': 1, 'cell phone': 1, 'dog': 1, 'chair': 1}",2.9098825454711914
CenterNet_Resnet50_V2_512x512,Beatles_640,"{'person': 4, 'stop sign': 1, 'bird': 1, 'donut': 1, 'cell phone': 1}",2.873570108413696
CenterNet_Resnet50_V2_512x512,Phones_768,"{'book': 15, 'cell phone': 3, 'laptop': 1, 'tv': 1}",2.8855977058410645
CenterNet_Resnet50_V2_512x512,Phones_480,"{'book': 10, 'tv': 4, 'cell phone': 3, 'clock': 2, 'laptop': 1}",2.881533622741699
CenterNet_Resnet50_V2_512x512,Birds_2951,"{'bird': 4, 'sheep': 2, 'person': 2, 'bowl': 1, 'motorcycle': 1}",3.04756646156311
CenterNet_Resnet50_V2_512x512,Birds_640,"{'book': 5, 'car': 4, 'bus': 3, 'truck': 2, 'person': 2, 'donut': 1, 'teddy bear': 1, 'dog': 1, 'cake': 1}",2.8920917987823485
CenterNet_Resnet50_V2_Keypoints_512x512,Beach_900,"{'traffic light': 1, 'book': 1}",3.4294366359710695
CenterNet_Resnet50_V2_Keypoints_512x512,Beach_426,{},3.4311639785766603
CenterNet_Resnet50_V2_Keypoints_512x512,Dogs_636,"{'truck': 5, 'bed': 4, 'dog': 2, 'car': 2, 'cow': 1, 'chair': 1}",3.441610908508301
CenterNet_Resnet50_V2_Keypoints_512x512,Dogs_397,"{'cow': 4, 'dog': 3, 'truck': 3, 'bed': 2, 'horse': 1}",3.4215871334075927
CenterNet_Resnet50_V2_Keypoints_512x512,Naxos Taverna_1024,"{'person': 2, 'car': 1, 'stop sign': 1, 'chair': 1, 'bench': 1}",3.45129599571228
CenterNet_Resnet50_V2_Keypoints_512x512,Naxos Taverna_426,{},3.453586483001709
CenterNet_Resnet50_V2_Keypoints_512x512,Beatles_1800,"{'bottle': 4, 'train': 3, 'book': 3, 'person': 2, 'cat': 1, 'teddy bear': 1, 'refrigerator': 1, 'dog': 1, 'bowl': 1, 'tie': 1, 'wine glass': 1, 'bear': 1}",3.4571752071380617
CenterNet_Resnet50_V2_Keypoints_512x512,Beatles_640,"{'person': 2, 'dog': 2, 'horse': 1, 'bird': 1, 'traffic light': 1}",3.438301372528076
CenterNet_Resnet50_V2_Keypoints_512x512,Phones_768,"{'book': 7, 'train': 4, 'cell phone': 3, 'clock': 3, 'laptop': 2, 'tv': 1}",3.4332897663116455
CenterNet_Resnet50_V2_Keypoints_512x512,Phones_480,"{'book': 2, 'cell phone': 1, 'car': 1, 'person': 1, 'tv': 1, 'truck': 1}",3.4093986988067626
CenterNet_Resnet50_V2_Keypoints_512x512,Birds_2951,"{'bird': 6, 'suitcase': 2, 'teddy bear': 1, 'person': 1, 'cake': 1, 'book': 1, 'potted plant': 1, 'handbag': 1}",3.628590488433838
CenterNet_Resnet50_V2_Keypoints_512x512,Birds_640,"{'truck': 3, 'book': 1, 'person': 1, 'suitcase': 1, 'boat': 1, 'dog': 1}",3.4349496364593506
EfficientDet_D0_512x512,Beach_900,{'person': 1},1.4157166004180908
EfficientDet_D0_512x512,Beach_426,{},1.3848336219787598
EfficientDet_D0_512x512,Dogs_636,"{'person': 5, 'dog': 4, 'cow': 2, 'horse': 2, 'truck': 1}",1.4048625946044921
EfficientDet_D0_512x512,Dogs_397,"{'cow': 6, 'dog': 6, 'horse': 3, 'person': 2, 'bear': 1, 'cat': 1, 'sheep': 1}",1.4045700550079345
EfficientDet_D0_512x512,Naxos Taverna_1024,"{'chair': 5, 'book': 5, 'banana': 3, 'umbrella': 2, 'car': 2, 'bus': 1, 'oven': 1, 'backpack': 1}",1.4618289947509766
EfficientDet_D0_512x512,Naxos Taverna_426,{},1.394542646408081
EfficientDet_D0_512x512,Beatles_1800,"{'refrigerator': 7, 'person': 6, 'bottle': 2, 'chair': 1, 'clock': 1, 'cup': 1, 'vase': 1, 'book': 1}",1.5034662723541259
EfficientDet_D0_512x512,Beatles_640,"{'clock': 2, 'bird': 1, 'traffic light': 1, 'person': 1}",1.402684497833252
EfficientDet_D0_512x512,Phones_768,"{'cell phone': 11, 'book': 6, 'laptop': 3}",1.4427952289581298
EfficientDet_D0_512x512,Phones_480,"{'cell phone': 7, 'book': 3, 'tv': 2, 'laptop': 1, 'bed': 1, 'keyboard': 1, 'umbrella': 1}",1.4226655960083008
EfficientDet_D0_512x512,Birds_2951,{'bird': 20},1.7615306377410889
EfficientDet_D0_512x512,Birds_640,"{'book': 3, 'bed': 3, 'person': 2, 'dog': 1, 'teddy bear': 1}",1.4074238777160644
EfficientDet_D1_640x640,Beach_900,{'traffic light': 1},2.764234161376953
EfficientDet_D1_640x640,Beach_426,{},2.723509407043457
EfficientDet_D1_640x640,Dogs_636,"{'dog': 4, 'horse': 4, 'cow': 2, 'sheep': 2, 'bear': 1, 'person': 1, 'bench': 1, 'elephant': 1}",2.7429606914520264
EfficientDet_D1_640x640,Dogs_397,"{'horse': 6, 'person': 5, 'dog': 4, 'bear': 1, 'elephant': 1, 'sheep': 1, 'cow': 1, 'teddy bear': 1}",2.7638975620269775
EfficientDet_D1_640x640,Naxos Taverna_1024,"{'car': 2, 'person': 1, 'bus': 1, 'motorcycle': 1}",2.809296178817749
EfficientDet_D1_640x640,Naxos Taverna_426,"{'car': 1, 'person': 1}",2.7581984996795654
EfficientDet_D1_640x640,Beatles_1800,"{'book': 6, 'refrigerator': 1, 'cat': 1, 'dog': 1, 'traffic light': 1}",2.898119258880615
EfficientDet_D1_640x640,Beatles_640,"{'person': 3, 'cat': 3, 'dog': 2, 'bird': 2, 'horse': 2, 'clock': 1, 'cow': 1, 'elephant': 1, 'bear': 1, 'sheep': 1}",2.7823278427124025
EfficientDet_D1_640x640,Phones_768,"{'cell phone': 12, 'book': 4, 'person': 1, 'tv': 1, 'laptop': 1, 'remote': 1}",2.8353395462036133
EfficientDet_D1_640x640,Phones_480,"{'cell phone': 7, 'book': 5, 'person': 3, 'dog': 1, 'tv': 1}",2.7755249977111816
EfficientDet_D1_640x640,Birds_2951,"{'bird': 13, 'dog': 2, 'train': 1, 'elephant': 1, 'bear': 1, 'cat': 1, 'bed': 1}",3.134019136428833
EfficientDet_D1_640x640,Birds_640,"{'book': 7, 'cat': 4, 'person': 3, 'dog': 2, 'bench': 2, 'bed': 1, 'teddy bear': 1}",2.764716291427612
EfficientDet_D2_768x768,Beach_900,{},4.6814759254455565
EfficientDet_D2_768x768,Beach_426,{'person': 1},4.634630537033081
EfficientDet_D2_768x768,Dogs_636,"{'dog': 4, 'elephant': 2, 'cat': 1, 'person': 1}",4.672491645812988
EfficientDet_D2_768x768,Dogs_397,"{'dog': 7, 'elephant': 3, 'person': 3, 'sheep': 2, 'cat': 2, 'bear': 1, 'horse': 1, 'cow': 1}",4.691406106948852
EfficientDet_D2_768x768,Naxos Taverna_1024,"{'book': 12, 'chair': 3, 'dining table': 2, 'person': 2, 'umbrella': 1}",4.7291265487670895
EfficientDet_D2_768x768,Naxos Taverna_426,"{'book': 4, 'umbrella': 1, 'person': 1}",4.6496453285217285
EfficientDet_D2_768x768,Beatles_1800,"{'book': 6, 'dog': 1, 'cat': 1, 'vase': 1}",4.8484461307525635
